Link	Mark	Placement_date	Price	Title	VIN	Views	Владельцы	Госномер	Двигатель	Коробка	Кузов	Налог	ПТС	Привод	Пробег	Руль	Состояние	Таможня	Цвет	год выпуска	Владение	Кузов №	Обмен	Гарантия	Запас хода
https://auto.ru/cars/used/sale/audi/q3/1103302166-429e3779/	Audi	5 июня	1 265 000 ₽	Audi Q3 I (8U)	WAU**************	60 (60 сегодня)	2 владельца		2.0 л / 170 л.с. / Бензин	роботизированная	внедорожник 5 дв.	7 650 ₽ / год	Оригинал	полный	85 000 км	Левый	Не требует ремонта	Растаможен	серый	2014			Рассмотрю варианты		
https://auto.ru/cars/used/sale/volvo/s60/1103676944-d2572144/	Volvo	2 июня	480 000 ₽	Volvo S60 I Рестайлинг	YV1**************	231 (60 сегодня)	3 или более	******|799	2.5 л / 210 л.с. / Бензин	автоматическая	седан	13 650 ₽ / год	Оригинал	полный	174 644 км	Левый	Не требует ремонта	Растаможен	чёрный	2006					
https://auto.ru/cars/used/sale/porsche/911_gt3/1103691986-d5d9bf53/	Porsche	2 июня	17 900 000 ₽	Porsche 911 GT3 991 Рестайлинг	WP0**************	634 (142 сегодня)	2 владельца	******|799	4.0 л / 500 л.с. / Бензин	механическая	купе	75 000 ₽ / год	Оригинал	задний	2 616 км	Левый	Не требует ремонта	Растаможен	белый	2018					
https://auto.ru/cars/used/sale/land_rover/defender/1103450016-b85279a1/	Land Rover	5 июня	6 299 000 ₽	Land Rover Defender  II 110	SAL**************	145 (145 сегодня)	1 владелец		2.0 л / 200 л.с. / Дизель	автоматическая	внедорожник 5 дв.	10 000 ₽ / год	Оригинал	полный	2 058 км	Левый	Не требует ремонта	Растаможен	серый	2020					
https://auto.ru/cars/used/sale/lexus/ls/1103788183-3406afc1/	Lexus	4 июня	4 875 000 ₽	Lexus LS  V 350	JTH**************	348 (348 сегодня)	2 владельца		3.5 л / 315 л.с. / Бензин	автоматическая	седан	47 250 ₽ / год	Оригинал	задний	59 836 км	Левый	Не требует ремонта	Растаможен	чёрный	2018					
https://auto.ru/cars/used/sale/mazda/6/1103791160-100d2477/	Mazda	3 июня	900 000 ₽	Mazda 6 II (GH) Рестайлинг	JMZ**************	415 (101 сегодня)	3 или более	******|71	2.0 л / 147 л.с. / Бензин	автоматическая	седан	5 145 ₽ / год	Оригинал	передний	128 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2011					
https://auto.ru/cars/used/sale/rolls_royce/cullinan/1103613809-3e385eae/	Rolls-Royce	2 июня	28 800 000 ₽	Rolls-Royce Cullinan	SCA**************	867 (177 сегодня)	3 или более	******|198	6.8 л / 571 л.с. / Бензин	автоматическая	внедорожник 5 дв.	256 950 ₽ / год	Дубликат	полный	48 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2019	1 год и 7 месяцев				
https://auto.ru/cars/used/sale/mercedes/gle_klasse/1103329583-49f427f6/	Mercedes-Benz	5 июня	5 498 000 ₽	Mercedes-Benz GLE  II (V167) 300 d	WDC**************	1 (1 сегодня)	2 владельца		2.0 л / 245 л.с. / Дизель	автоматическая	внедорожник 5 дв.	18 375 ₽ / год	Оригинал	полный	24 455 км	Левый	Не требует ремонта	Растаможен	серебристый	2019			Рассмотрю варианты	До декабря 2021	
https://auto.ru/cars/used/sale/vaz/largus/1103733253-fb882936/	LADA (ВАЗ)	5 июня	998 000 ₽	LADA (ВАЗ) Largus I Cross	XTA**************	3 (3 сегодня)	1 владелец		1.6 л / 106 л.с. / Бензин	механическая	универсал 5 дв.	2 650 ₽ / год	Оригинал	передний	1 915 км	Левый	Не требует ремонта	Растаможен	белый	2020			Рассмотрю варианты	До мая 2023	
https://auto.ru/cars/used/sale/suzuki/kizashi/1103407162-4ebf3338/	Suzuki	4 июня	619 000 ₽	Suzuki Kizashi	JSA**************	512 (226 сегодня)	2 владельца		2.4 л / 178 л.с. / Бензин	вариатор	седан	8 900 ₽ / год	Оригинал	передний	232 500 км	Левый	Не требует ремонта	Растаможен	серый	2010					
